,M403.428793492735,M148.413159102577,M54.5981500331442,M20.0855369231877,M7.38905609893065,M2.71828182845904,M1,Purity,wt
85,0.850497149,0.8206016501,0.8735653679,0.8927730357,0.9531535758,0.9527161734,0.9416099576,87.53,0
86,-0.0194960998,1.0270745708,0.9907701768,0.957945984,0.9333753831,0.9883359377,0.9380917214,91.82,0
87,1.0287481101,1.0177559992,0.9136922779,0.9412296077,0.93499187,0.9261107008,0.9882408502,86.17,0
88,1.0456166264,1.026466011,0.9100789543,0.9475053804,0.9440822316,0.9695086197,0.9540473979,86.96,0
89,1.0730018162,0.9574705467,0.9648112989,0.9411155027,1.0087797426,0.9771536518,0.9717336664,82.65,0
90,0.9730648909,0.9708398442,0.9440251792,0.8894069395,0.9836386169,0.9641266692,0.9637463193,89.04,0
91,1.0327037487,0.9315306863,0.9582502639,0.9168872168,0.8780915312,0.9612740452,0.9581932114,86.12,0
92,1.0335975708,0.9657051211,0.9559111122,0.9709349316,1.0020855851,0.9448809663,0.9782186314,82.95,0
93,0.8486524521,0.8372419564,0.7504271012,0.7476695647,0.7830421016,0.9082722925,0.9389855435,82.51,0
94,0.0697910294,0.0081743524,-0.007562623,1.0529003262,1.0169192295,1.0019714801,1.0126783286,90.59,0
95,1.0742569707,0.9696607596,0.9933185208,1.0162916523,1.0244311392,1.0331221335,1.0522347139,82.3,0
96,0.0507735365,-0.0068970108,1.1295027876,1.1143268283,1.0668781834,1.0991508689,1.0621618452,88.11,1
