,M403.428793492735,M148.413159102577,M54.5981500331442,M20.0855369231877,M7.38905609893065,M2.71828182845904,M1,Purity,Wildtype
57,-0.0172510999,-0.0214434063,0.7988463929,1.0006408928,0.9821080073,0.9218978137,0.9925887733,49.9,0
58,0.0764252637,-0.0181907548,0.7069626017,1.0114830645,0.981963445,0.9714103979,1.0033586639,55.11,0
59,0.0546686391,0.0316470945,1.0854700443,1.0264886302,0.9872833373,0.9888012413,1.0107024282,59.77,0
60,0.9852883777,1.0121480511,0.990420339,0.9821802884,0.9901745831,1.0198676773,1.0284113086,57.6,0
61,-0.0221865051,-0.0042345378,1.0216239607,0.9820554508,0.9716551788,0.9678422403,0.9698154731,95.76,0
62,0.1181652397,1.0645751553,1.0530028127,1.0220393781,0.9840435199,0.9811949433,0.9617593423,62.54,0
63,1.2009655982,1.1855654808,1.0636553024,1.0503025994,0.8648780639,0.9642518468,0.9750823726,88.2,0
64,0.0620097054,-0.0217785059,1.0819336692,1.0090427472,0.9515964516,0.9687027478,0.9742960467,93.1,0
65,0.9868327512,0.9303063085,0.8390925107,0.9569820419,0.9946960096,0.9994436374,0.980082218,55.68,0
66,-0.0153988811,-0.0206286898,0.9900967453,0.971224925,0.9431842488,0.9746669552,0.9861651161,80.48,0
67,0.126770315,1.0391308379,0.9384662937,0.9891323834,0.9758241894,0.9735987389,1.0075294409,43.57,0
68,0.0752585541,0.0353784811,0.9416115971,0.9985831298,0.9683615121,0.9851265725,0.9908385621,45.06,0
69,1.0824232683,0.9880938398,0.959059129,0.9698748184,0.9983754211,0.9886872933,1.0037758477,92.19,0
70,0.8326090316,1.0180632399,0.971180416,0.9748153185,1.071963651,0.9931381943,0.9905863444,87.91,0
71,0.0360461163,0.7630562854,0.8961382252,1.0099329274,0.9493710011,0.9880196581,1.0160306618,89.12,0
72,1.1512638704,1.0566080425,0.9959867709,0.9793107285,0.9673229685,1.0040429017,1.0093543103,94.45,0
73,0.0638436419,0.2929342077,1.0643447276,0.9803656715,0.9629656526,0.9609467857,0.9773591574,35.43,0
74,-0.0234759854,-0.0229313271,-0.0526696732,-0.0509993876,-0.0458069779,0.9624282564,0.9617746664,48.93,0
75,1.0067271358,1.0009464952,0.9748464669,0.9571559635,0.9705618211,0.9481654696,0.9555292506,84.1,0
76,-0.0235486065,1.0608298657,1.0309390152,1.0031687013,0.9664659903,0.9518546222,0.9633723309,86.84,0
77,1.2651421074,1.1059711501,1.0572278584,0.9670469592,1.003023459,0.9678312673,0.9747302731,90.71,0
78,-0.0204985197,-0.0333524569,-0.0084797254,1.0356739118,1.0048680353,0.9546287488,0.9832414676,87.47,0
79,0.0044831434,-0.0062647814,1.0181722234,1.0300385134,0.975834114,0.9701987156,0.9741202557,90.52,0
80,0.1919182383,1.1361815334,1.0196246457,1.0479323559,1.0207430108,0.967293871,0.9337429164,67.02,0
81,1.0194358308,0.9931179391,0.9728130757,0.9844324539,0.9759067351,0.9800025659,0.9832705161,89.82,0
82,1.0708951521,1.0166036073,0.9805835349,0.9846212688,0.9676134039,0.8695022791,0.9871630078,83.98,0
83,1.0596679279,1.0269884266,1.0001621872,1.0296463594,0.8313907185,0.9661028848,0.9822538205,86.49,0
84,0.4323957948,0.9647957047,0.9930743664,0.98039472,0.9510703142,0.9656671581,0.9767636643,93.89,0
85,0.8863619797,1.0022596399,1.0516801516,1.0286464028,1.0449741235,1.0395801443,1.0095488009,88.75,0
86,0.16342299,-0.0027698812,0.9298053794,1.0089656681,1.0579488301,1.037393396,0.9973030104,82.94,0
87,0.9957370706,0.9361551399,0.9732210754,0.9598898227,0.956204036,0.997238137,0.9926160416,91.78,0
88,0.1217449029,0.8639999207,0.9328706284,1.0090385992,0.8661103309,0.9705904937,1.0057838118,90.97,0
89,0.0016595948,1.0594655114,0.9062378472,1.0132891435,1.0081171525,0.9770554825,0.9963761385,54.02,0
90,0.3138368098,-0.0324487941,1.0291469435,1.0092615298,0.9882020148,0.9802210977,1.0178220667,49.67,0
91,1.0559729313,1.0407393371,0.9743803147,0.9846797106,0.9681085325,1.0055906052,0.937893999,56.82,0
92,1.0162912762,0.9223631639,0.9943251765,0.9865671901,0.9697433573,0.9944440729,1.0023655419,92.9,0
93,-0.0225655354,0.8810912703,0.9267771907,0.9970449304,0.9900597702,1.0024398521,1.0053676746,55.9,0
94,-0.0187385593,0.8721294583,0.8849108154,1.0029897477,0.9858240879,0.983446161,1.0100789422,83.85,0
95,1.1161642058,1.0576820662,0.9990067201,0.9989026858,0.9794334094,0.9778431708,1.0077753255,91.76,0
96,0.2220636938,0.1522120913,1.0665992921,1.033456936,0.9778283087,0.9911298373,1.0157711047,92.58,1
