,M128,M64,M32,M16,M8,M4,M2,M1,Purity,WildType
63,0.963037332,1.024688898,1.022426484,1.022652698,1.011114277,1.0022907,1.012471699,1.039394793,78.07,0
64,0.049802033,0.016770365,0.002290722,0.003195702,0.647992059,0.938150438,1.010774922,1.027290735,84.82,0
65,0.997313375,1.016204743,1.016204743,1.037245453,1.010322425,1.008964936,1.019485291,1.048218304,86.68,0
66,0.00376131,0.001951358,-8.4842E-05,0.000933258,-0.001894798,0.922992113,1.006136885,1.035096179,85.02,0
67,-0.00155543,1.005118751,1.015186677,1.021860846,1.012019202,1.00647624,1.006363099,1.038150445,94.66,0
68,0.013489817,0.007833709,0.001272622,0.002177602,-0.000650454,0.719145913,0.991204775,0.97502825,86.82,0
69,-0.000876698,0.001159502,-0.000989818,0.001725114,0.093693438,0.984530538,0.999236433,1.029779431,86.58,0
70,0.015978504,0.012245473,0.004779409,0.00376131,-8.4842E-05,0.734191164,0.991204775,1.009643647,81.58,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
