,M128,M64,M32,M16,M8,M4,M2,M1,Purity,WildType,IC50,IC50 * purity,Mean Widltype,Fitness
35,0.0009260479,1.0197247903,0.9923878623,0.9873872638,0.9839423973,1.012834991,1.0043894412,0.9981664393,93.54,0,98.43,92.08,97.54,1.06
36,0.0010069228,0.0736060416,1.0278665561,1.0386406153,1.01387041,0.9862807135,0.9933291411,1.0098426513,83.71,0,55.89,46.78,97.54,2.09
37,0.9554836152,1.0719822074,0.9551572995,0.9327495322,0.9496097382,0.9438446548,0.9388409962,0.9194789285,91.31,0,673.50,614.98,97.54,0.16
38,1.0880809236,0.9981236037,0.9444972862,0.9331846414,0.9485219977,0.9389497897,0.9337285442,0.9339460663,96.02,0,1034.97,993.78,97.54,0.10
39,0.001107613,0.0040276892,0.0027186902,1.0762995283,1.0144745437,0.9938325659,1.0023915079,1.0126620223,93.25,0,24.86,23.18,97.54,4.21
40,0.0181246043,0.0131906863,0.0033228427,0.0021145376,0.0008055386,0.6155318041,1.0134675741,1.0130648582,93.36,0,4.12,3.85,97.54,25.35
41,0.9446060797,0.9541783057,0.9448236278,0.9612486987,0.9450411889,0.9610311765,0.953308134,0.9236124335,92.49,0,517.02,478.19,97.54,0.20
42,0.9387321897,0.9745193672,0.9501536409,0.9576591612,0.9418866958,0.9588556953,0.9543958746,0.9342724469,85.98,0,201.18,172.98,97.54,0.56
43,0.0010877548,0.0022842848,0.0009789775,0.0009789775,-0.000000002,0.3658118711,0.9449323954,0.9551572995,90.9,0,3.66,3.33,97.54,29.32
44,0.0002175485,0.0025018354,0.1079052523,1.0154189189,0.9653822036,0.9612486987,0.9368830372,0.9428657077,94.8,0,28.70,27.21,97.54,3.59
45,0.0017404064,0.0014140786,-0.0006526537,0.003154487,-0.0002175526,0.9715823963,0.9431920234,0.9488483133,93.51,0,5.73,5.36,97.54,18.20
46,0.0324150864,0.0115301973,0.0059826482,0.0046773449,0.9426481207,0.9612486987,0.9724526147,0.9504799566,89.93,0,9.71,8.73,97.54,11.17
47,1.0425039642,0.9778913825,0.9818073004,0.9839827816,0.9785440139,0.9971446437,0.99953766,0.9654909972,92.28,0,1385.88,1278.89,97.54,0.08
48,0.5699881508,0.9897524704,0.9998356231,0.9928212958,0.9992876023,1.0115627078,1.0192346733,1.0388528927,90.54,0,134.56,121.83,97.54,0.80
49,0.021834439,0.0178228631,0.0044127317,0.0005157743,-0.0023496389,0.7800223621,0.9903435659,0.9946989628,91.01,0,4.31,3.92,97.54,24.88
50,0.0379953608,0.0296283539,0.0122066552,0.0078512284,0.812114969,0.9430069673,0.9902289304,1.0042121367,92.5,0,8.89,8.22,97.54,11.86
51,-0.0008596252,0.0004011559,-0.0014327044,0.846270673,0.9953867074,0.9811742301,0.9787672949,1.0020344724,85.16,0,18.34,15.62,97.54,6.25
52,0.0020057879,0.0010888578,-0.0009742394,0.7168686627,0.9794549711,0.9927505012,0.9871343189,0.9999713753,91.04,0,17.39,15.83,97.54,6.16
53,0.7199633426,0.8660993326,0.9109143604,0.9341815243,0.9769334687,0.9824350155,0.9867904807,0.9956159101,85.19,0,316.12,269.31,97.54,0.36
54,0.9847273836,0.982549651,0.9707441773,0.974182627,0.9824350155,0.9705149063,0.9945843956,1.0133814725,78.54,0,576.03,452.41,97.54,0.22
55,0.9886243069,0.9769334687,0.9795696066,0.9694833919,0.9718903272,0.9770480359,0.9849565863,1.0060460312,82.33,0,822.99,677.57,97.54,0.14
